train_no,date,station_code,station_name,delay,distance
12952,2025-09-06,NDLS,NEW DELHI,7.0,0
12952,2025-09-06,KOTA,KOTA JN,11.0,465
12952,2025-09-06,NAD,NAGDA JN,1.0,690
12952,2025-09-06,RTM,RATLAM JN,6.0,731
12952,2025-09-06,BRC,VADODARA JN,0.0,993
12952,2025-09-06,ST,SURAT,2.0,1122
12952,2025-09-06,BVI,BORIVALI,20.0,1355
12952,2025-09-06,MMCT,MUMBAI CENTRAL,-7.0,1384
12952,2025-09-07,NDLS,NEW DELHI,0.0,0
12952,2025-09-07,KOTA,KOTA JN,21.0,465
12952,2025-09-07,NAD,NAGDA JN,8.0,690
12952,2025-09-07,RTM,RATLAM JN,15.0,731
12952,2025-09-07,BRC,VADODARA JN,1.0,993
12952,2025-09-07,ST,SURAT,2.0,1122
12952,2025-09-07,BVI,BORIVALI,20.0,1355
12952,2025-09-07,MMCT,MUMBAI CENTRAL,-1.0,1384
12952,2025-09-08,NDLS,NEW DELHI,0.0,0
12952,2025-09-08,KOTA,KOTA JN,0.0,465
12952,2025-09-08,NAD,NAGDA JN,0.0,690
12952,2025-09-08,RTM,RATLAM JN,6.0,731
12952,2025-09-08,BRC,VADODARA JN,2.0,993
12952,2025-09-08,ST,SURAT,0.0,1122
12952,2025-09-08,BVI,BORIVALI,23.0,1355
12952,2025-09-08,MMCT,MUMBAI CENTRAL,3.0,1384
12952,2025-09-09,NDLS,NEW DELHI,0.0,0
12952,2025-09-09,KOTA,KOTA JN,15.0,465
12952,2025-09-09,NAD,NAGDA JN,1.0,690
12952,2025-09-09,RTM,RATLAM JN,3.0,731
12952,2025-09-09,BRC,VADODARA JN,2.0,993
12952,2025-09-09,ST,SURAT,2.0,1122
12952,2025-09-09,BVI,BORIVALI,18.0,1355
12952,2025-09-09,MMCT,MUMBAI CENTRAL,3.0,1384
12952,2025-09-10,NDLS,NEW DELHI,0.0,0
12952,2025-09-10,KOTA,KOTA JN,9.0,465
12952,2025-09-10,NAD,NAGDA JN,10.0,690
12952,2025-09-10,RTM,RATLAM JN,15.0,731
12952,2025-09-10,BRC,VADODARA JN,5.0,993
12952,2025-09-10,ST,SURAT,2.0,1122
12952,2025-09-10,BVI,BORIVALI,18.0,1355
12952,2025-09-10,MMCT,MUMBAI CENTRAL,-4.0,1384
12952,2025-09-11,NDLS,NEW DELHI,0.0,0
12952,2025-09-11,KOTA,KOTA JN,24.0,465
12952,2025-09-11,NAD,NAGDA JN,27.0,690
12952,2025-09-11,RTM,RATLAM JN,33.0,731
12952,2025-09-11,BRC,VADODARA JN,21.0,993
12952,2025-09-11,ST,SURAT,14.0,1122
12952,2025-09-11,BVI,BORIVALI,23.0,1355
12952,2025-09-11,MMCT,MUMBAI CENTRAL,3.0,1384
12952,2025-09-12,NDLS,NEW DELHI,1.0,0
12952,2025-09-12,KOTA,KOTA JN,20.0,465
