train_no,date,station_code,station_name,delay
12314,2025-09-18,SDAH,SEALDAH,-8.0
12314,2025-09-19,NDLS,NEW DELHI,0.0
12314,2025-09-19,CNB,KANPUR CENTRAL,3.0
12314,2025-09-19,DDU,PT DEEN DAYAL UPADHYAY JN,1.0
12314,2025-09-19,GAYA,GAYA JN,5.0
12314,2025-09-19,DHN,DHANBAD JN,8.0
12314,2025-09-19,ASN,ASANSOL JN,22.0
12314,2025-09-19,DGR,DURGAPUR,33.0
12314,2025-09-19,SDAH,SEALDAH,16.0
12314,2025-09-20,NDLS,NEW DELHI,0.0
12314,2025-09-20,CNB,KANPUR CENTRAL,3.0
12314,2025-09-20,DDU,PT DEEN DAYAL UPADHYAY JN,1.0
12314,2025-09-20,GAYA,GAYA JN,0.0
12314,2025-09-20,DHN,DHANBAD JN,0.0
12314,2025-09-20,ASN,ASANSOL JN,137.0
12314,2025-09-20,DGR,DURGAPUR,142.0
12314,2025-09-20,SDAH,SEALDAH,133.0
12314,2025-09-21,NDLS,NEW DELHI,235.0
12314,2025-09-21,CNB,KANPUR CENTRAL,271.0
12314,2025-09-21,DDU,PT DEEN DAYAL UPADHYAY JN,255.0
12314,2025-09-21,GAYA,GAYA JN,271.0
12314,2025-09-21,DHN,DHANBAD JN,260.0
12314,2025-09-21,ASN,ASANSOL JN,293.0
12314,2025-09-21,DGR,DURGAPUR,296.0
12314,2025-09-21,SDAH,SEALDAH,261.0
12314,2025-09-22,NDLS,NEW DELHI,0.0
12314,2025-09-22,CNB,KANPUR CENTRAL,11.0
12314,2025-09-22,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-09-22,GAYA,GAYA JN,8.0
12314,2025-09-22,DHN,DHANBAD JN,2.0
12314,2025-09-22,ASN,ASANSOL JN,20.0
12314,2025-09-22,DGR,DURGAPUR,24.0
12314,2025-09-22,SDAH,SEALDAH,51.0
12314,2025-09-23,NDLS,NEW DELHI,1.0
12314,2025-09-23,CNB,KANPUR CENTRAL,5.0
12314,2025-09-23,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-09-23,GAYA,GAYA JN,14.0
12314,2025-09-23,DHN,DHANBAD JN,0.0
12314,2025-09-23,ASN,ASANSOL JN,7.0
12314,2025-09-23,DGR,DURGAPUR,13.0
12314,2025-09-23,SDAH,SEALDAH,-17.0
12314,2025-09-24,NDLS,NEW DELHI,0.0
12314,2025-09-24,CNB,KANPUR CENTRAL,13.0
12314,2025-09-24,DDU,PT DEEN DAYAL UPADHYAY JN,1.0
12314,2025-09-24,GAYA,GAYA JN,10.0
12314,2025-09-24,DHN,DHANBAD JN,0.0
12314,2025-09-24,ASN,ASANSOL JN,11.0
12314,2025-09-24,DGR,DURGAPUR,17.0
12314,2025-09-24,SDAH,SEALDAH,18.0
12314,2025-09-25,NDLS,NEW DELHI,0.0
12314,2025-09-25,CNB,KANPUR CENTRAL,20.0
12314,2025-09-25,DDU,PT DEEN DAYAL UPADHYAY JN,78.0
12314,2025-09-25,GAYA,GAYA JN,99.0
12314,2025-09-25,DHN,DHANBAD JN,78.0
12314,2025-09-25,ASN,ASANSOL JN,86.0
12314,2025-09-25,DGR,DURGAPUR,96.0
12314,2025-09-25,SDAH,SEALDAH,59.0
12314,2025-09-26,NDLS,NEW DELHI,0.0
12314,2025-09-26,CNB,KANPUR CENTRAL,15.0
12314,2025-09-26,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-09-26,GAYA,GAYA JN,17.0
12314,2025-09-26,DHN,DHANBAD JN,4.0
12314,2025-09-26,ASN,ASANSOL JN,12.0
12314,2025-09-26,DGR,DURGAPUR,20.0
12314,2025-09-26,SDAH,SEALDAH,0.0
12314,2025-09-27,NDLS,NEW DELHI,0.0
12314,2025-09-27,CNB,KANPUR CENTRAL,12.0
12314,2025-09-27,DDU,PT DEEN DAYAL UPADHYAY JN,1.0
12314,2025-09-27,GAYA,GAYA JN,12.0
12314,2025-09-27,DHN,DHANBAD JN,11.0
12314,2025-09-27,ASN,ASANSOL JN,23.0
12314,2025-09-27,DGR,DURGAPUR,29.0
12314,2025-09-27,SDAH,SEALDAH,6.0
12314,2025-09-28,NDLS,NEW DELHI,0.0
12314,2025-09-28,CNB,KANPUR CENTRAL,38.0
