train_no,date,station_code,station_name,delay,distance
12958,2025-09-05,NDLS,NEW DELHI,0.0,0
12958,2025-09-05,DEC,DELHI CANTT,4.0,16
12958,2025-09-05,GGN,GURGAON,11.0,32
12958,2025-09-05,JP,JAIPUR,30.0,309
12958,2025-09-05,AII,AJMER JN,33.0,443
12958,2025-09-05,FA,FALNA,24.0,650
12958,2025-09-05,ABR,ABU ROAD,14.0,748
12958,2025-09-05,PNU,PALANPUR JN,1.0,801
12958,2025-09-05,MSH,MAHESANA JN,4.0,866
12958,2025-09-05,SBIB,SABARMATI BG,-18.0,929
12958,2025-09-06,NDLS,NEW DELHI,0.0,0
12958,2025-09-06,DEC,DELHI CANTT,0.0,16
12958,2025-09-06,GGN,GURGAON,0.0,32
12958,2025-09-06,JP,JAIPUR,8.0,309
12958,2025-09-06,AII,AJMER JN,6.0,443
12958,2025-09-06,FA,FALNA,3.0,650
12958,2025-09-06,ABR,ABU ROAD,1.0,748
12958,2025-09-06,PNU,PALANPUR JN,0.0,801
12958,2025-09-06,MSH,MAHESANA JN,5.0,866
12958,2025-09-06,SBIB,SABARMATI BG,-22.0,929
12958,2025-09-07,NDLS,NEW DELHI,0.0,0
12958,2025-09-07,DEC,DELHI CANTT,8.0,16
12958,2025-09-07,GGN,GURGAON,9.0,32
12958,2025-09-07,JP,JAIPUR,11.0,309
12958,2025-09-07,AII,AJMER JN,3.0,443
12958,2025-09-07,FA,FALNA,0.0,650
12958,2025-09-07,ABR,ABU ROAD,0.0,748
12958,2025-09-07,PNU,PALANPUR JN,0.0,801
12958,2025-09-07,MSH,MAHESANA JN,0.0,866
12958,2025-09-07,SBIB,SABARMATI BG,-32.0,929
12958,2025-09-08,NDLS,NEW DELHI,0.0,0
12958,2025-09-08,DEC,DELHI CANTT,1.0,16
12958,2025-09-08,GGN,GURGAON,3.0,32
12958,2025-09-08,JP,JAIPUR,14.0,309
12958,2025-09-08,AII,AJMER JN,20.0,443
12958,2025-09-08,FA,FALNA,19.0,650
12958,2025-09-08,ABR,ABU ROAD,10.0,748
12958,2025-09-08,PNU,PALANPUR JN,0.0,801
12958,2025-09-08,MSH,MAHESANA JN,1.0,866
12958,2025-09-08,SBIB,SABARMATI BG,-23.0,929
12958,2025-09-09,NDLS,NEW DELHI,0.0,0
12958,2025-09-09,DEC,DELHI CANTT,2.0,16
12958,2025-09-09,GGN,GURGAON,12.0,32
12958,2025-09-09,JP,JAIPUR,9.0,309
12958,2025-09-09,AII,AJMER JN,11.0,443
12958,2025-09-09,FA,FALNA,10.0,650
12958,2025-09-09,ABR,ABU ROAD,2.0,748
12958,2025-09-09,PNU,PALANPUR JN,0.0,801
12958,2025-09-09,MSH,MAHESANA JN,0.0,866
12958,2025-09-09,SBIB,SABARMATI BG,-22.0,929
12958,2025-09-10,NDLS,NEW DELHI,2.0,0
12958,2025-09-10,DEC,DELHI CANTT,6.0,16
12958,2025-09-10,GGN,GURGAON,8.0,32
12958,2025-09-10,JP,JAIPUR,7.0,309
12958,2025-09-10,AII,AJMER JN,0.0,443
12958,2025-09-10,FA,FALNA,0.0,650
12958,2025-09-10,ABR,ABU ROAD,1.0,748
12958,2025-09-10,PNU,PALANPUR JN,0.0,801
12958,2025-09-10,MSH,MAHESANA JN,0.0,866
12958,2025-09-10,SBIB,SABARMATI BG,-31.0,929
12958,2025-09-11,NDLS,NEW DELHI,1.0,0
12958,2025-09-11,DEC,DELHI CANTT,6.0,16
12958,2025-09-11,GGN,GURGAON,7.0,32
12958,2025-09-11,JP,JAIPUR,31.0,309
12958,2025-09-11,AII,AJMER JN,48.0,443
12958,2025-09-11,FA,FALNA,48.0,650
12958,2025-09-11,ABR,ABU ROAD,39.0,748
12958,2025-09-11,PNU,PALANPUR JN,25.0,801
12958,2025-09-11,MSH,MAHESANA JN,26.0,866
12958,2025-09-11,SBIB,SABARMATI BG,-5.0,929
12958,2025-09-12,NDLS,NEW DELHI,0.0,0
12958,2025-09-12,DEC,DELHI CANTT,6.0,16
12958,2025-09-12,GGN,GURGAON,8.0,32
12958,2025-09-12,JP,JAIPUR,13.0,309
12958,2025-09-12,AII,AJMER JN,10.0,443
12958,2025-09-12,FA,FALNA,11.0,650
12958,2025-09-12,ABR,ABU ROAD,1.0,748
12958,2025-09-12,PNU,PALANPUR JN,0.0,801
