train_no,date,station_code,station_name,delay,distance
14310,2025-09-09,YNRK,YOGNAGARI RISHIKESH,6.0,0
14310,2025-09-09,RWL,RAIWALA,,11
14310,2025-09-09,MOTC,MOTICHUR,,18
14310,2025-09-09,HW,HARIDWAR JN,0.0,23
14310,2025-09-09,JWP,JWALAPUR,,27
14310,2025-09-09,RK,ROORKEE,2.0,68
14310,2025-09-09,SRE,SAHARANPUR,0.0,103
14310,2025-09-09,DBD,DEOBAND,0.0,137
14310,2025-09-09,MOZ,MUZAFFARNAGAR,0.0,161
14310,2025-09-09,MTC,MEERUT CITY,5.0,217
14310,2025-09-09,GZB,GHAZIABAD,1.0,264
14310,2025-09-09,NZM,H NIZAMUDDIN,0.0,287
14310,2025-09-09,FDB,FARIDABAD,6.0,308
14310,2025-09-09,KSV,KOSI KALAN,2.0,379
14310,2025-09-09,MTJ,MATHURA JN,13.0,420
14310,2025-09-09,RKM,RAJA KI MANDI,24.0,470
14310,2025-09-09,AGC,AGRA CANTT,18.0,474
14310,2025-09-09,DHO,DHAULPUR,5.0,526
14310,2025-09-09,MRA,MORENA,0.0,554
14310,2025-09-09,BAO,BANMOR,2.0,573
14310,2025-09-09,GWL,GWALIOR,1.0,592
14310,2025-09-09,SVPI,SHIVPURI,44.0,718
14310,2025-09-09,KLRS,KOLARAS,,744
14310,2025-09-09,GUNA,GUNA,27.0,820
14310,2025-09-09,RTA,RUTHIYAI,27.0,840
14310,2025-09-09,KHRJ,KUMBHRAJ,26.0,864
14310,2025-09-09,BRRG,BIYAVRA RAJGARH,42.0,917
14310,2025-09-09,PFR,PACHOR ROAD,44.0,947
14310,2025-09-09,SFW,SARANGPUR,,979
14310,2025-09-09,SFY,SHAJAPUR,86.0,1006
14310,2025-09-09,MKC,MAKSI,0.0,1034
14310,2025-09-09,UJN,UJJAIN JN,1.0,1075
14310,2025-09-09,DWX,DEWAS,0.0,1115
14310,2025-09-09,LMNR,LAKSHMIBAI NGR,-47.0,1151
14310,2025-09-10,YNRK,YOGNAGARI RISHIKESH,0.0,0
14310,2025-09-10,RWL,RAIWALA,,11
14310,2025-09-10,MOTC,MOTICHUR,,18
14310,2025-09-10,HW,HARIDWAR JN,9.0,23
14310,2025-09-10,JWP,JWALAPUR,,27
14310,2025-09-10,RK,ROORKEE,5.0,68
14310,2025-09-10,SRE,SAHARANPUR,0.0,103
14310,2025-09-10,DBD,DEOBAND,1.0,137
14310,2025-09-10,MOZ,MUZAFFARNAGAR,2.0,161
14310,2025-09-10,MTC,MEERUT CITY,10.0,217
14310,2025-09-10,GZB,GHAZIABAD,16.0,264
14310,2025-09-10,NZM,H NIZAMUDDIN,5.0,287
14310,2025-09-10,FDB,FARIDABAD,10.0,308
14310,2025-09-10,KSV,KOSI KALAN,16.0,379
14310,2025-09-10,MTJ,MATHURA JN,31.0,420
14310,2025-09-10,RKM,RAJA KI MANDI,33.0,470
14310,2025-09-10,AGC,AGRA CANTT,27.0,474
14310,2025-09-10,DHO,DHAULPUR,16.0,526
14310,2025-09-10,MRA,MORENA,7.0,554
14310,2025-09-10,BAO,BANMOR,8.0,573
14310,2025-09-10,GWL,GWALIOR,4.0,592
14310,2025-09-10,SVPI,SHIVPURI,13.0,718
14310,2025-09-10,KLRS,KOLARAS,,744
14310,2025-09-10,GUNA,GUNA,0.0,820
14310,2025-09-10,RTA,RUTHIYAI,5.0,840
14310,2025-09-10,KHRJ,KUMBHRAJ,6.0,864
14310,2025-09-10,BRRG,BIYAVRA RAJGARH,0.0,917
14310,2025-09-10,PFR,PACHOR ROAD,21.0,947
