train_no,date,station_code,station_name,delay,distance
12628,2025-09-06,NDLS,NEW DELHI,3.0,0
12628,2025-09-06,MTJ,MATHURA JN,49.0,141
12628,2025-09-06,AGC,AGRA CANTT,32.0,195
12628,2025-09-06,GWL,GWALIOR,5.0,313
12628,2025-09-06,VGLJ,V LAKSHMIBAI JHANSI,1.0,410
12628,2025-09-06,BINA,BINA JN,1.0,563
12628,2025-09-06,BPL,BHOPAL JN,0.0,701
12628,2025-09-06,ET,ITARSI JN,1.0,793
12628,2025-09-06,KNW,KHANDWA,0.0,976
12628,2025-09-06,BAU,BURHANPUR,6.0,1045
12628,2025-09-06,BSL,BHUSAVAL JN,12.0,1100
12628,2025-09-06,JL,JALGAON JN,17.0,1124
12628,2025-09-06,MMR,MANMAD JN,17.0,1284
12628,2025-09-06,KPG,KOPARGAON,11.0,1326
12628,2025-09-06,BAP,BELAPUR,22.0,1370
12628,2025-09-06,ANG,AHMADNAGAR,15.0,1437
12628,2025-09-06,DD,DAUND JN,9.0,1520
12628,2025-09-06,KWV,KURDUVADI,8.0,1630
12628,2025-09-06,SUR,SOLAPUR JN,11.0,1708
12628,2025-09-06,KLBG,KALABURAGI JN,19.0,1821
12628,2025-09-06,WADI,WADI,0.0,1858
12628,2025-09-06,YG,YADGIR,12.0,1897
12628,2025-09-06,RC,RAICHUR,13.0,1965
12628,2025-09-06,MALM,MANTHRALAYAM RD,16.0,1994
12628,2025-09-06,AD,ADONI,23.0,2035
12628,2025-09-06,GTL,GUNTAKAL JN,2.0,2086
12628,2025-09-06,ATP,ANANTAPUR,5.0,2172
12628,2025-09-06,DMM,DHARMAVARAM JN,0.0,2205
12628,2025-09-06,SSPN,SAI P NILAYAM,9.0,2238
12628,2025-09-06,PKD,PENUKONDA,7.0,2259
12628,2025-09-06,HUP,HINDUPUR,16.0,2296
12628,2025-09-06,YNK,YELHANKA JN,3.0,2379
12628,2025-09-06,BNC,BANGALORE CANT,11.0,2402
12628,2025-09-06,SBC,KSR BANGALORE CY JN,-26.0,2406
12628,2025-09-07,NDLS,NEW DELHI,0.0,0
12628,2025-09-07,MTJ,MATHURA JN,24.0,141
12628,2025-09-07,AGC,AGRA CANTT,12.0,195
12628,2025-09-07,GWL,GWALIOR,0.0,313
12628,2025-09-07,VGLJ,V LAKSHMIBAI JHANSI,1.0,410
12628,2025-09-07,BINA,BINA JN,3.0,563
12628,2025-09-07,BPL,BHOPAL JN,1.0,701
12628,2025-09-07,ET,ITARSI JN,2.0,793
12628,2025-09-07,KNW,KHANDWA,1.0,976
12628,2025-09-07,BAU,BURHANPUR,7.0,1045
12628,2025-09-07,BSL,BHUSAVAL JN,0.0,1100
12628,2025-09-07,JL,JALGAON JN,0.0,1124
12628,2025-09-07,MMR,MANMAD JN,27.0,1284
12628,2025-09-07,KPG,KOPARGAON,25.0,1326
12628,2025-09-07,BAP,BELAPUR,36.0,1370
12628,2025-09-07,ANG,AHMADNAGAR,24.0,1437
12628,2025-09-07,DD,DAUND JN,36.0,1520
12628,2025-09-07,KWV,KURDUVADI,38.0,1630
12628,2025-09-07,SUR,SOLAPUR JN,36.0,1708
12628,2025-09-07,KLBG,KALABURAGI JN,47.0,1821
12628,2025-09-07,WADI,WADI,2.0,1858
12628,2025-09-07,YG,YADGIR,11.0,1897
12628,2025-09-07,RC,RAICHUR,16.0,1965
12628,2025-09-07,MALM,MANTHRALAYAM RD,20.0,1994
12628,2025-09-07,AD,ADONI,16.0,2035
12628,2025-09-07,GTL,GUNTAKAL JN,24.0,2086
12628,2025-09-07,ATP,ANANTAPUR,16.0,2172
12628,2025-09-07,DMM,DHARMAVARAM JN,0.0,2205
12628,2025-09-07,SSPN,SAI P NILAYAM,7.0,2238
12628,2025-09-07,PKD,PENUKONDA,4.0,2259
12628,2025-09-07,HUP,HINDUPUR,10.0,2296
12628,2025-09-07,YNK,YELHANKA JN,2.0,2379
12628,2025-09-07,BNC,BANGALORE CANT,24.0,2402
12628,2025-09-07,SBC,KSR BANGALORE CY JN,-18.0,2406
12628,2025-09-08,NDLS,NEW DELHI,0.0,0
12628,2025-09-08,MTJ,MATHURA JN,27.0,141
12628,2025-09-08,AGC,AGRA CANTT,26.0,195
12628,2025-09-08,GWL,GWALIOR,7.0,313
12628,2025-09-08,VGLJ,V LAKSHMIBAI JHANSI,12.0,410
12628,2025-09-08,BINA,BINA JN,3.0,563
12628,2025-09-08,BPL,BHOPAL JN,12.0,701
12628,2025-09-08,ET,ITARSI JN,2.0,793
12628,2025-09-08,KNW,KHANDWA,1.0,976
12628,2025-09-08,BAU,BURHANPUR,10.0,1045
12628,2025-09-08,BSL,BHUSAVAL JN,1.0,1100
12628,2025-09-08,JL,JALGAON JN,12.0,1124
12628,2025-09-08,MMR,MANMAD JN,22.0,1284
12628,2025-09-08,KPG,KOPARGAON,20.0,1326
12628,2025-09-08,BAP,BELAPUR,28.0,1370
12628,2025-09-08,ANG,AHMADNAGAR,25.0,1437
12628,2025-09-08,DD,DAUND JN,20.0,1520
12628,2025-09-08,KWV,KURDUVADI,53.0,1630
12628,2025-09-08,SUR,SOLAPUR JN,33.0,1708
12628,2025-09-08,KLBG,KALABURAGI JN,31.0,1821
12628,2025-09-08,WADI,WADI,1.0,1858
12628,2025-09-08,YG,YADGIR,13.0,1897
12628,2025-09-08,RC,RAICHUR,27.0,1965
12628,2025-09-08,MALM,MANTHRALAYAM RD,30.0,1994
12628,2025-09-08,AD,ADONI,24.0,2035
12628,2025-09-08,GTL,GUNTAKAL JN,11.0,2086
12628,2025-09-08,ATP,ANANTAPUR,11.0,2172
12628,2025-09-08,DMM,DHARMAVARAM JN,1.0,2205
12628,2025-09-08,SSPN,SAI P NILAYAM,7.0,2238
12628,2025-09-08,PKD,PENUKONDA,7.0,2259
12628,2025-09-08,HUP,HINDUPUR,13.0,2296
12628,2025-09-08,YNK,YELHANKA JN,1.0,2379
12628,2025-09-08,BNC,BANGALORE CANT,29.0,2402
12628,2025-09-08,SBC,KSR BANGALORE CY JN,-4.0,2406
12628,2025-09-09,NDLS,NEW DELHI,0.0,0
12628,2025-09-09,MTJ,MATHURA JN,13.0,141
12628,2025-09-09,AGC,AGRA CANTT,11.0,195
12628,2025-09-09,GWL,GWALIOR,0.0,313
12628,2025-09-09,VGLJ,V LAKSHMIBAI JHANSI,0.0,410
12628,2025-09-09,BINA,BINA JN,0.0,563
12628,2025-09-09,BPL,BHOPAL JN,19.0,701
12628,2025-09-09,ET,ITARSI JN,18.0,793
12628,2025-09-09,KNW,KHANDWA,2.0,976
12628,2025-09-09,BAU,BURHANPUR,9.0,1045
12628,2025-09-09,BSL,BHUSAVAL JN,1.0,1100
12628,2025-09-09,JL,JALGAON JN,0.0,1124
12628,2025-09-09,MMR,MANMAD JN,49.0,1284
12628,2025-09-09,KPG,KOPARGAON,37.0,1326
12628,2025-09-09,BAP,BELAPUR,45.0,1370
12628,2025-09-09,ANG,AHMADNAGAR,35.0,1437
12628,2025-09-09,DD,DAUND JN,32.0,1520
12628,2025-09-09,KWV,KURDUVADI,33.0,1630
12628,2025-09-09,SUR,SOLAPUR JN,5.0,1708
