iter	Passed	Remaining
142	1915	18177
143	1922	18106
144	1937	18101
145	1941	18009
146	1948	17935
147	1953	17843
148	1985	18003
149	1996	17964
150	2008	17943
151	2013	17858
152	2032	17898
153	2041	17845
154	2051	17799
155	2061	17763
156	2068	17696
157	2071	17597
158	2085	17591
159	2102	17606
160	2113	17574
161	2125	17552
162	2131	17481
163	2153	17543
164	2165	17517
165	2178	17505
166	2187	17458
167	2192	17385
168	2195	17294
169	2200	17214
170	2210	17182
171	2222	17159
172	2231	17119
173	2255	17186
174	2266	17157
175	2277	17130
176	2286	17090
177	2291	17021
178	2305	17015
179	2313	16967
180	2317	16885
181	2326	16850
182	2331	16782
183	2337	16717
184	2350	16707
185	2356	16650
186	2367	16626
187	2372	16553
188	2381	16517
189	2388	16468
190	2399	16442
191	2413	16441
192	2435	16495
193	2448	16481
194	2458	16449
195	2471	16445
196	2484	16429
197	2495	16407
198	2514	16438
199	2535	16477
200	2546	16455
201	2552	16403
202	2562	16369
203	2574	16353
204	2585	16334
205	2591	16277
206	2601	16248
207	2611	16220
208	2622	16201
209	2632	16169
210	2642	16145
211	2654	16129
212	2667	16116
213	2677	16091
214	2688	16067
215	2697	16036
216	2708	16016
217	2719	15990
218	2727	15954
219	2735	15918
220	2739	15855
221	2749	15830
222	2760	15805
223	2769	15775
224	2773	15714
225	2778	15665
226	2791	15652
227	2800	15625
228	2809	15590
229	2819	15566
230	2832	15562
231	2842	15534
232	2851	15505
233	2866	15511
234	2880	15503
235	2892	15489
236	2906	15487
237	2917	15468
238	2926	15439
239	2938	15425
240	2944	15383
241	2967	15427
242	2980	15419
243	2990	15394
244	3004	15390
245	3017	15382
246	3028	15361
247	3041	15354
248	3055	15350
249	3068	15340
250	3080	15330
251	3092	15314
252	3106	15311
253	3120	15309
254	3151	15386
255	3168	15395
256	3174	15355
257	3181	15317
258	3200	15333
259	3220	15359
260	3236	15362
261	3245	15337
262	3258	15327
263	3266	15291
264	3276	15267
265	3288	15253
266	3293	15210
267	3303	15187
268	3313	15163
269	3319	15122
270	3330	15102
271	3344	15101
272	3357	15090
273	3373	15094
274	3387	15090
275	3414	15141
276	3453	15247
277	3465	15234
278	3475	15209
279	3486	15191
280	3498	15175
281	3506	15144
282	3518	15130
283	3525	15096
284	3548	15126
285	3561	15117
286	3573	15104
287	3578	15058
288	3588	15037
289	3602	15032
290	3608	14989
291	3623	14989
292	3629	14951
293	3638	14926
294	3649	14905
295	3659	14884
296	3673	14879
297	3683	14856
298	3693	14834
299	3699	14798
300	3707	14769
301	3716	14742
302	3726	14720
303	3730	14677
304	3741	14660
305	3751	14638
306	3763	14626
307	3778	14622
308	3792	14618
309	3809	14621
310	3824	14622
311	3839	14621
312	3857	14628
313	3871	14622
314	3887	14623
315	3912	14658
316	3924	14646
317	3941	14649
318	3955	14644
319	3992	14723
320	4001	14695
321	4012	14678
322	4025	14666
323	4036	14650
324	4044	14623
325	4050	14585
326	4064	14578
327	4078	14574
328	4091	14562
329	4100	14538
330	4119	14550
331	4136	14553
332	4145	14527
333	4167	14548
334	4184	14550
335	4204	14565
336	4217	14555
337	4224	14524
338	4243	14532
339	4249	14498
340	4263	14490
341	4276	14479
342	4280	14440
343	4294	14432
344	4307	14422
345	4321	14413
346	4330	14390
347	4342	14376
348	4355	14365
349	4366	14348
350	4378	14333
351	4391	14321
352	4413	14339
353	4425	14327
354	4444	14333
355	4467	14357
356	4482	14350
357	4496	14344
358	4506	14322
359	4514	14296
360	4521	14266
361	4533	14252
362	4549	14251
363	4587	14316
364	4605	14320
365	4613	14293
366	4623	14274
367	4632	14250
368	4643	14232
369	4654	14214
370	4667	14203
371	4680	14192
372	4691	14176
373	4698	14146
374	4709	14127
375	4728	14134
376	4747	14143
377	4764	14141
378	4775	14123
379	4788	14114
380	4798	14091
381	4808	14071
382	4822	14063
383	4833	14047
384	4857	14068
385	4869	14052
386	4881	14039
387	4894	14027
388	4905	14010
389	4919	14001
390	4932	13991
391	4944	13976
392	4966	13989
393	4981	13983
394	4995	13974
395	5008	13963
396	5020	13948
397	5033	13938
398	5063	13972
399	5086	13988
400	5096	13967
401	5104	13942
402	5116	13927
403	5129	13916
404	5141	13901
405	5148	13874
406	5154	13843
407	5165	13824
408	5170	13793
409	5181	13775
410	5197	13770
411	5205	13747
412	5212	13718
413	5222	13699
414	5232	13679
415	5243	13662
416	5252	13642
417	5263	13623
418	5273	13604
419	5285	13590
420	5295	13571
421	5301	13542
422	5306	13511
423	5313	13483
424	5322	13461
425	5332	13443
426	5340	13420
427	5361	13427
428	5371	13410
429	5380	13388
430	5389	13367
431	5400	13352
432	5411	13335
433	5423	13321
434	5432	13299
435	5445	13288
436	5458	13276
437	5465	13252
438	5474	13231
439	5491	13228
440	5503	13214
441	5517	13206
442	5538	13214
443	5556	13216
444	5570	13205
445	5590	13212
446	5605	13204
447	5621	13200
448	5635	13192
449	5647	13177
450	5660	13165
451	5671	13149
452	5686	13142
453	5692	13114
454	5702	13095
455	5714	13083
456	5724	13065
457	5737	13052
458	5750	13041
459	5764	13032
460	5775	13017
461	5788	13004
462	5799	12989
463	5815	12983
464	5825	12966
465	5837	12953
466	5849	12939
467	5860	12922
468	5871	12907
469	5882	12891
470	5894	12877
471	5901	12852
472	5915	12843
473	5925	12826
474	5939	12816
475	5951	12803
476	5965	12793
477	5979	12784
478	5987	12763
479	6000	12750
480	6011	12734
481	6023	12721
482	6033	12704
483	6046	12693
484	6054	12670
485	6066	12657
486	6075	12638
487	6087	12623
488	6099	12610
489	6110	12594
490	6122	12582
491	6146	12593
492	6161	12585
493	6176	12578
494	6188	12564
495	6200	12550
496	6212	12537
497	6226	12528
498	6239	12515
499	6248	12496
500	6261	12485
501	6274	12474
502	6286	12460
503	6296	12443
504	6307	12428
505	6317	12410
506	6325	12389
507	6334	12369
508	6346	12355
509	6355	12337
510	6366	12322
511	6378	12309
512	6390	12294
513	6401	12280
514	6412	12264
515	6423	12249
516	6433	12232
517	6442	12214
518	6454	12199
519	6465	12185
520	6477	12171
521	6490	12160
522	6497	12136
523	6510	12125
524	6533	12134
525	6565	12158
526	6576	12142
527	6607	12164
528	6623	12157
529	6636	12146
530	6647	12130
531	6658	12115
532	6668	12098
533	6681	12087
534	6693	12073
535	6703	12056
536	6716	12044
537	6729	12033
538	6742	12021
539	6753	12005
540	6763	11988
541	6773	11973
542	6785	11959
543	6796	11944
544	6809	11932
545	6822	11919
546	6833	11906
547	6846	11893
548	6856	11877
549	6869	11865
550	6880	11850
551	6889	11832
552	6900	11816
553	6910	11799
554	6919	11782
555	6931	11767
556	6941	11751
557	6953	11738
558	6969	11732
559	6983	11722
560	6992	11704
561	7003	11688
562	7014	11673
563	7026	11661
564	7040	11651
565	7050	11634
566	7061	11619
567	7075	11610
568	7087	11596
569	7100	11585
570	7113	11573
571	7127	11564
572	7136	11545
573	7147	11529
574	7160	11518
575	7175	11510
576	7185	11494
577	7198	11483
578	7211	11471
579	7221	11454
580	7231	11438
581	7241	11422
582	7250	11404
583	7259	11386
584	7271	11373
585	7285	11362
586	7300	11354
587	7312	11341
588	7321	11323
589	7333	11310
590	7346	11299
591	7358	11285
592	7368	11270
593	7380	11256
594	7391	11241
595	7400	11224
596	7411	11211
597	7421	11193
598	7437	11187
599	7448	11173
600	7464	11165
601	7474	11149
602	7485	11135
603	7497	11122
604	7515	11117
605	7529	11107
606	7541	11094
607	7553	11082
608	7567	11071
609	7585	11067
610	7603	11063
611	7616	11051
612	7627	11036
613	7637	11020
614	7647	11004
615	7658	10990
616	7669	10976
617	7680	10960
618	7689	10944
619	7699	10928
620	7711	10915
621	7720	10898
622	7731	10883
623	7739	10864
624	7751	10852
625	7762	10837
626	7774	10824
627	7785	10810
628	7800	10801
629	7809	10785
630	7819	10768
631	7828	10751
632	7838	10736
633	7850	10722
634	7864	10712
635	7891	10721
636	7928	10741
637	7946	10736
638	7955	10719
639	7970	10710
640	8002	10723
641	8012	10708
642	8027	10699
643	8047	10696
644	8059	10684
645	8071	10670
646	8096	10673
647	8128	10687
648	8142	10676
649	8151	10660
650	8176	10662
651	8188	10650
652	8211	10650
653	8226	10642
654	8240	10630
655	8254	10620
656	8266	10606
657	8287	10604
658	8322	10620
659	8347	10624
660	8363	10615
661	8375	10602
662	8385	10586
663	8396	10571
664	8404	10552
665	8416	10539
666	8430	10528
667	8444	10517
668	8451	10498
669	8465	10486
670	8488	10487
671	8501	10475
672	8526	10477
673	8555	10484
674	8568	10472
675	8580	10459
676	8584	10435
677	8594	10419
678	8631	10436
679	8641	10420
680	8654	10408
681	8661	10388
682	8672	10374
683	8707	10387
684	8728	10385
685	8742	10373
686	8763	10370
687	8778	10360
688	8787	10343
689	8795	10325
690	8836	10345
691	8849	10332
692	8856	10313
693	8865	10296
694	8878	10283
695	8889	10268
696	8899	10252
697	8917	10245
698	8929	10232
699	8942	10219
700	8954	10206
701	8967	10194
702	8986	10188
703	9014	10192
704	9056	10212
705	9083	10215
706	9098	10205
707	9113	10194
708	9124	10179
709	9138	10168
710	9142	10145
711	9157	10135
712	9170	10122
713	9180	10106
714	9192	10092
715	9203	10077
716	9213	10061
717	9225	10048
718	9237	10034
719	9246	10017
720	9259	10004
721	9270	9990
722	9284	9978
723	9297	9965
724	9306	9948
725	9318	9934
726	9327	9917
727	9351	9916
728	9362	9902
729	9374	9888
730	9384	9872
731	9392	9854
732	9401	9837
733	9414	9825
734	9430	9815
735	9443	9803
736	9459	9793
737	9471	9779
738	9487	9769
739	9496	9753
740	9511	9742
741	9526	9732
742	9538	9717
743	9549	9703
744	9560	9689
745	9575	9677
746	9593	9670
747	9605	9656
748	9608	9634
749	9622	9622
750	9636	9611
751	9647	9596
752	9664	9587
753	9676	9573
754	9688	9560
755	9700	9546
756	9717	9538
757	9746	9540
758	9759	9528
759	9769	9512
760	9781	9498
761	9784	9476
762	9795	9461
763	9803	9444
764	9815	9430
765	9826	9415
766	9836	9400
767	9854	9392
768	9866	9378
769	9877	9364
770	9890	9352
771	9900	9336
772	9910	9320
773	9921	9306
774	9935	9294
775	9938	9272
776	9950	9259
777	9953	9236
778	9963	9221
779	9976	9208
780	9994	9200
781	10004	9185
782	10016	9171
783	10033	9163
784	10046	9150
785	10055	9134
786	10067	9120
787	10079	9107
788	10093	9095
789	10107	9083
790	10110	9062
791	10120	9047
792	10134	9035
793	10151	9026
794	10162	9012
795	10176	8999
796	10188	8986
797	10214	8985
798	10234	8979
799	10249	8968
800	10261	8954
801	10277	8945
802	10281	8924
803	10295	8912
804	10309	8900
805	10312	8879
806	10324	8866
807	10337	8853
808	10348	8838
809	10361	8826
810	10364	8805
811	10367	8784
812	10374	8767
813	10377	8746
814	10380	8724
815	10389	8708
816	10399	8694
817	10410	8679
818	10422	8666
819	10430	8649
820	10440	8634
821	10451	8620
822	10465	8609
823	10482	8599
824	10496	8588
825	10508	8574
826	10519	8560
827	10531	8547
828	10545	8535
829	10560	8524
830	10575	8514
831	10590	8502
832	10602	8489
833	10615	8476
834	10630	8465
835	10633	8445
836	10644	8431
837	10653	8416
838	10664	8401
839	10677	8389
840	10690	8377
841	10704	8365
842	10713	8349
843	10721	8333
844	10731	8318
845	10743	8304
846	10754	8291
847	10764	8276
848	10773	8261
849	10783	8246
850	10798	8234
851	10812	8223
852	10826	8211
853	10835	8196
854	10845	8181
855	10858	8169
856	10866	8152
857	10878	8140
858	10890	8126
859	10900	8111
860	10913	8099
861	10926	8087
862	10937	8072
863	10946	8057
864	10949	8038
865	10959	8023
866	10975	8013
867	10987	8000
868	11005	7991
869	11019	7979
870	11029	7965
871	11039	7950
872	11049	7936
873	11061	7922
874	11072	7909
875	11087	7898
876	11100	7885
877	11114	7873
878	11126	7861
879	11137	7846
880	11152	7836
881	11169	7826
882	11179	7811
883	11193	7799
884	11205	7787
885	11222	7777
886	11237	7765
887	11250	7753
888	11273	7748
889	11287	7736
890	11297	7721
891	11307	7707
892	11317	7692
893	11326	7677
894	11335	7662
895	11347	7649
896	11383	7652
897	11400	7642
898	11411	7629
899	11425	7616
900	11439	7605
901	11452	7592
902	11466	7580
903	11479	7568
904	11503	7562
905	11519	7552
906	11529	7538
907	11541	7524
908	11551	7510
909	11564	7497
910	11575	7483
911	11588	7471
912	11598	7456
913	11606	7441
914	11616	7427
915	11631	7415
916	11654	7409
917	11670	7399
918	11686	7388
919	11705	7379
920	11725	7371
921	11742	7361
922	11760	7352
923	11782	7345
924	11807	7339
925	11821	7327
926	11835	7315
927	11883	7324
928	11911	7321
929	11927	7310
930	11951	7304
931	11972	7296
932	11985	7283
933	11996	7269
934	12010	7257
935	12033	7251
936	12044	7237
937	12052	7221
938	12064	7207
939	12076	7194
940	12087	7180
941	12100	7167
942	12115	7156
943	12127	7142
944	12147	7134
945	12162	7122
946	12195	7121
947	12200	7104
948	12212	7090
949	12231	7081
950	12257	7076
951	12275	7066
952	12284	7051
953	12302	7041
954	12316	7028
955	12330	7016
956	12341	7002
957	12357	6991
958	12365	6975
959	12411	6981
960	12424	6968
961	12434	6953
962	12445	6940
963	12456	6925
964	12468	6912
965	12480	6899
966	12491	6885
967	12498	6868
968	12509	6855
969	12524	6843
970	12534	6828
971	12544	6814
972	12555	6800
973	12569	6788
974	12580	6774
975	12597	6763
976	12612	6751
977	12625	6738
978	12641	6727
979	12656	6715
980	12667	6701
981	12678	6687
982	12692	6675
983	12704	6662
984	12721	6651
985	12737	6639
986	12754	6629
987	12774	6619
988	12787	6607
989	12805	6596
990	12832	6590
991	12845	6578
992	12857	6564
993	12872	6552
994	12901	6547
995	12918	6536
996	12931	6524
997	12943	6510
998	12955	6497
999	12963	6481
1000	12976	6468
1001	12991	6456
1002	13014	6449
1003	13026	6435
1004	13036	6420
1005	13048	6407
1006	13064	6396
1007	13077	6383
1008	13099	6374
1009	13113	6362
1010	13136	6353
1011	13155	6343
1012	13169	6331
1013	13191	6322
1014	13204	6309
1015	13215	6295
1016	13225	6281
1017	13257	6276
1018	13265	6261
1019	13275	6247
1020	13284	6232
1021	13293	6217
1022	13303	6203
1023	13314	6189
1024	13325	6175
1025	13334	6160
1026	13348	6147
1027	13361	6135
1028	13371	6120
1029	13382	6106
1030	13392	6092
1031	13405	6079
1032	13419	6066
1033	13435	6055
1034	13454	6044
1035	13471	6033
1036	13506	6030
1037	13519	6017
1038	13532	6004
1039	13544	5990
1040	13558	5978
1041	13566	5963
1042	13575	5948
1043	13585	5933
1044	13596	5920
1045	13605	5905
1046	13618	5892
1047	13631	5879
1048	13645	5866
1049	13653	5851
1050	13661	5836
1051	13674	5823
1052	13686	5810
1053	13698	5796
1054	13712	5783
1055	13726	5771
1056	13742	5759
1057	13754	5746
1058	13771	5734
1059	13784	5721
1060	13799	5709
1061	13809	5695
1062	13823	5682
1063	13840	5671
1064	13850	5657
1065	13862	5643
1066	13874	5630
1067	13891	5618
1068	13905	5606
1069	13919	5593
1070	13933	5581
1071	13944	5567
1072	13955	5553
1073	13973	5542
1074	13983	5528
1075	13997	5515
1076	14008	5501
1077	14020	5488
1078	14031	5474
1079	14046	5462
1080	14057	5448
1081	14071	5436
1082	14082	5422
1083	14099	5411
1084	14115	5398
1085	14129	5386
1086	14143	5373
1087	14154	5360
1088	14167	5346
1089	14182	5334
1090	14197	5322
1091	14208	5308
1092	14220	5295
1093	14230	5281
1094	14239	5266
1095	14266	5258
1096	14278	5245
1097	14292	5232
1098	14304	5219
1099	14316	5206
1100	14328	5192
1101	14343	5180
1102	14351	5165
1103	14362	5151
1104	14375	5138
1105	14385	5124
1106	14395	5110
1107	14405	5096
1108	14420	5084
1109	14428	5069
1110	14439	5055
1111	14448	5041
1112	14458	5027
1113	14472	5014
1114	14485	5001
1115	14495	4987
1116	14508	4974
1117	14521	4961
1118	14531	4947
1119	14541	4933
1120	14551	4919
1121	14565	4907
1122	14575	4892
1123	14587	4879
1124	14597	4865
1125	14606	4851
1126	14617	4837
1127	14628	4824
1128	14641	4811
1129	14650	4796
1130	14659	4782
1131	14670	4769
1132	14680	4755
1133	14691	4741
1134	14702	4728
1135	14717	4715
1136	14727	4701
1137	14738	4688
1138	14749	4674
1139	14759	4660
1140	14768	4646
1141	14781	4633
1142	14806	4624
1143	14819	4611
1144	14830	4598
1145	14840	4584
1146	14853	4571
1147	14865	4557
1148	14875	4544
1149	14895	4533
1150	14909	4520
1151	14923	4508
1152	14935	4494
1153	14948	4481
1154	14963	4469
1155	14972	4455
1156	15000	4446
1157	15010	4433
1158	15019	4418
1159	15031	4405
1160	15045	4393
1161	15056	4379
1162	15066	4365
1163	15085	4354
1164	15097	4341
1165	15109	4328
1166	15118	4314
1167	15129	4300
1168	15140	4286
1169	15151	4273
1170	15165	4260
1171	15180	4248
1172	15193	4235
1173	15205	4222
1174	15217	4209
1175	15227	4195
1176	15237	4181
1177	15249	4168
1178	15263	4155
1179	15274	4142
1180	15284	4128
1181	15295	4114
1182	15308	4101
1183	15317	4088
1184	15330	4075
1185	15337	4060
1186	15347	4046
1187	15359	4033
1188	15370	4020
1189	15380	4006
1190	15391	3993
1191	15402	3979
1192	15415	3966
1193	15425	3953
1194	15435	3939
1195	15443	3925
1196	15453	3911
1197	15461	3897
1198	15472	3884
1199	15483	3870
1200	15494	3857
1201	15509	3845
1202	15519	3831
1203	15530	3818
1204	15544	3805
1205	15553	3791
1206	15566	3778
1207	15578	3765
1208	15590	3752
1209	15600	3739
1210	15609	3725
1211	15620	3711
1212	15629	3697
1213	15643	3685
1214	15656	3672
1215	15666	3658
1216	15678	3645
1217	15692	3633
1218	15706	3620
1219	15717	3607
1220	15728	3593
1221	15740	3580
1222	15754	3568
1223	15766	3555
1224	15777	3541
1225	15800	3531
1226	15814	3518
1227	15823	3504
1228	15833	3491
1229	15844	3478
1230	15857	3465
1231	15868	3451
1232	15879	3438
1233	15889	3425
1234	15900	3411
1235	15910	3398
1236	15938	3388
1237	15950	3375
1238	15961	3362
1239	15970	3348
1240	15980	3335
1241	15991	3321
1242	16001	3308
1243	16009	3294
1244	16021	3281
1245	16029	3267
1246	16042	3254
1247	16057	3242
1248	16084	3232
1249	16098	3219
1250	16108	3206
1251	16120	3193
1252	16131	3179
1253	16145	3167
1254	16157	3154
1255	16167	3140
1256	16181	3128
1257	16196	3115
1258	16208	3102
1259	16239	3093
1260	16257	3081
1261	16269	3068
1262	16280	3055
1263	16288	3041
1264	16298	3027
1265	16308	3014
1266	16318	3000
1267	16327	2987
1268	16340	2974
1269	16355	2962
1270	16406	2956
1271	16420	2943
1272	16454	2934
1273	16464	2920
1274	16525	2916
1275	16538	2903
1276	16566	2892
1277	16584	2880
1278	16596	2867
1279	16605	2854
1280	16614	2840
1281	16625	2827
1282	16636	2813
1283	16646	2800
1284	16656	2786
1285	16677	2775
1286	16710	2765
1287	16721	2752
1288	16737	2739
1289	16751	2727
1290	16766	2714
1291	16801	2704
1292	16827	2694
1293	16869	2685
1294	16883	2672
1295	16895	2659
1296	16906	2646
1297	16919	2633
1298	16932	2619
1299	16942	2606
1300	16956	2593
1301	16972	2581
1302	16989	2568
1303	17025	2559
1304	17038	2545
1305	17051	2532
1306	17066	2520
1307	17078	2506
1308	17092	2494
1309	17128	2484
1310	17146	2471
1311	17163	2459
1312	17178	2446
1313	17189	2433
1314	17204	2420
1315	17220	2407
1316	17236	2395
1317	17255	2382
1318	17267	2369
1319	17278	2356
1320	17289	2342
1321	17299	2329
1322	17312	2316
1323	17323	2302
1324	17337	2289
1325	17350	2276
1326	17362	2263
1327	17377	2250
1328	17389	2237
1329	17400	2224
1330	17417	2211
1331	17431	2198
1332	17442	2185
1333	17450	2171
1334	17460	2158
1335	17471	2144
1336	17482	2131
1337	17494	2118
1338	17505	2104
1339	17519	2091
1340	17531	2078
1341	17544	2065
1342	17559	2052
1343	17571	2039
1344	17584	2026
1345	17594	2013
1346	17607	1999
1347	17616	1986
1348	17625	1972
1349	17636	1959
1350	17643	1945
1351	17650	1932
1352	17661	1918
1353	17670	1905
1354	17679	1891
1355	17688	1878
1356	17696	1864
1357	17709	1851
1358	17719	1838
1359	17732	1825
1360	17741	1811
1361	17751	1798
1362	17763	1785
1363	17776	1772
1364	17786	1759
1365	17799	1746
1366	17811	1732
1367	17823	1719
1368	17831	1706
1369	17843	1693
1370	17857	1680
1371	17866	1666
1372	17877	1653
1373	17886	1640
1374	17899	1627
1375	17908	1613
1376	17918	1600
1377	17929	1587
1378	17938	1574
1379	17949	1560
1380	17959	1547
1381	17970	1534
1382	17982	1521
1383	17992	1508
1384	18001	1494
1385	18012	1481
1386	18023	1468
1387	18039	1455
1388	18053	1442
1389	18064	1429
1390	18088	1417
1391	18104	1404
1392	18118	1391
1393	18130	1378
1394	18144	1365
1395	18158	1352
1396	18173	1339
1397	18191	1327
1398	18203	1314
1399	18219	1301
1400	18234	1288
1401	18246	1275
1402	18258	1262
1403	18273	1249
1404	18287	1236
1405	18296	1223
1406	18306	1210
1407	18320	1197
1408	18333	1184
1409	18347	1171
1410	18359	1158
1411	18368	1144
1412	18380	1131
1413	18393	1118
1414	18402	1105
1415	18412	1092
1416	18423	1079
1417	18432	1065
1418	18443	1052
1419	18453	1039
1420	18464	1026
1421	18476	1013
1422	18486	1000
1423	18496	987
1424	18507	974
1425	18518	961
1426	18530	947
1427	18537	934
1428	18545	921
1429	18553	908
1430	18564	895
1431	18573	881
1432	18580	868
1433	18592	855
1434	18604	842
1435	18616	829
1436	18626	816
1437	18639	803
1438	18648	790
1439	18658	777
1440	18668	764
1441	18679	751
1442	18688	738
1443	18698	725
1444	18708	712
1445	18719	699
1446	18731	686
1447	18742	673
1448	18752	660
1449	18763	647
1450	18773	633
1451	18785	621
1452	18797	608
1453	18807	595
1454	18818	582
1455	18830	569
1456	18839	556
1457	18849	542
1458	18859	529
1459	18870	516
1460	18880	503
1461	18891	491
1462	18901	478
1463	18911	465
1464	18922	452
1465	18931	439
1466	18939	426
1467	18949	413
1468	18958	400
1469	18969	387
1470	18978	374
1471	18989	361
1472	18999	348
1473	19011	335
1474	19021	322
1475	19030	309
1476	19038	296
1477	19046	283
1478	19054	270
1479	19063	257
1480	19075	244
1481	19083	231
1482	19095	218
1483	19106	205
1484	19117	193
1485	19130	180
1486	19138	167
1487	19151	154
1488	19163	141
1489	19174	128
1490	19185	115
1491	19194	102
1492	19203	90
1493	19212	77
1494	19222	64
1495	19233	51
1496	19243	38
1497	19253	25
1498	19262	12
1499	19273	0
