train_no,observations,mean,median,std,min,max
12314,2555,4.31,3.0,34.92,-42.0,630.0
12428,4745,5.29,0.0,50.89,-359.0,622.0
12628,12045,0.94,0.0,37.48,-652.0,637.0
12802,10970,1.33,0.0,45.02,-872.0,1060.0
12952,2548,1.89,0.0,29.25,-30.0,913.0
12958,3285,-2.18,0.0,11.86,-42.0,94.0
14310,2530,0.68,1.0,42.74,-183.0,187.0
20807,7053,-0.16,0.0,48.53,-1464.0,1494.0
